formatted_date,summary,precip_type,temperature_c,apparent_temperature_c,humity,wind_speed,wind_bearing,visibility,loud_cover,pressure,daily_summary
2006-04-01 00:00:00.000,Partly Cloudy,rain,9.47222222222222,7.38888888888889,0.89,14.1197,251,15.8263,0,1015.13,Partly cloudy throughout the day.
2006-04-01 01:00:00.000,Partly Cloudy,rain,9.35555555555556,7.22777777777778,0.86,14.2646,259,15.8263,0,1015.63,Partly cloudy throughout the day.
2006-04-01 02:00:00.000,Mostly Cloudy,rain,9.37777777777778,9.37777777777778,0.89,3.9284,204,14.9569,0,1015.94,Partly cloudy throughout the day.
2006-04-01 03:00:00.000,Partly Cloudy,rain,8.28888888888889,5.94444444444445,0.83,14.1036,269,15.8263,0,1016.41,Partly cloudy throughout the day.
2006-04-01 04:00:00.000,Mostly Cloudy,rain,8.75555555555555,6.97777777777778,0.83,11.0446,259,15.8263,0,1016.51,Partly cloudy throughout the day.
2006-04-01 05:00:00.000,Partly Cloudy,rain,9.22222222222222,7.11111111111111,0.85,13.9587,258,14.9569,0,1016.66,Partly cloudy throughout the day.
2006-04-01 06:00:00.000,Partly Cloudy,rain,7.73333333333333,5.52222222222222,0.95,12.3648,259,9.982,0,1016.72,Partly cloudy throughout the day.
2006-04-01 07:00:00.000,Partly Cloudy,rain,8.77222222222222,6.52777777777778,0.89,14.1519,260,9.982,0,1016.84,Partly cloudy throughout the day.
2006-04-01 08:00:00.000,Partly Cloudy,rain,10.8222222222222,10.8222222222222,0.82,11.3183,259,9.982,0,1017.37,Partly cloudy throughout the day.
2006-04-01 09:00:00.000,Partly Cloudy,rain,13.7722222222222,13.7722222222222,0.72,12.5258,279,9.982,0,1017.22,Partly cloudy throughout the day.
2006-04-01 10:00:00.000,Partly Cloudy,rain,16.0166666666667,16.0166666666667,0.67,17.5651,290,11.2056,0,1017.42,Partly cloudy throughout the day.
2006-04-01 11:00:00.000,Partly Cloudy,rain,17.1444444444444,17.1444444444444,0.54,19.7869,316,11.4471,0,1017.74,Partly cloudy throughout the day.
2006-04-01 12:00:00.000,Partly Cloudy,rain,17.8,17.8,0.55,21.9443,281,11.27,0,1017.59,Partly cloudy throughout the day.
2006-04-01 13:00:00.000,Partly Cloudy,rain,17.3333333333333,17.3333333333333,0.51,20.6885,289,11.27,0,1017.48,Partly cloudy throughout the day.
2006-04-01 14:00:00.000,Partly Cloudy,rain,18.8777777777778,18.8777777777778,0.47,15.3755,262,11.4471,0,1017.17,Partly cloudy throughout the day.
2006-04-01 15:00:00.000,Partly Cloudy,rain,18.9111111111111,18.9111111111111,0.46,10.4006,288,11.27,0,1016.47,Partly cloudy throughout the day.
2006-04-01 16:00:00.000,Partly Cloudy,rain,15.3888888888889,15.3888888888889,0.6,14.4095,251,11.27,0,1016.15,Partly cloudy throughout the day.
2006-04-01 17:00:00.000,Mostly Cloudy,rain,15.55,15.55,0.63,11.1573,230,11.4471,0,1016.17,Partly cloudy throughout the day.
